Title,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Teenage Dream,Katy Perry,0.825,0.832,5.0,-5.853,0.0,0.0403,0.00587,0.000789,0.114,0.713,122.021,audio_features,7rl7ao5pb9BhvAzPdWStxi,spotify:track:7rl7ao5pb9BhvAzPdWStxi,https://api.spotify.com/v1/tracks/7rl7ao5pb9BhvAzPdWStxi,https://api.spotify.com/v1/audio-analysis/7rl7ao5pb9BhvAzPdWStxi,220627.0,4.0
Telephone,Lady Gaga,0.706,0.751,9.0,-6.323,1.0,0.0708,0.173,0.0,0.168,0.195,91.034,audio_features,7jDtMjYfh9ROnRxP8fmVVe,spotify:track:7jDtMjYfh9ROnRxP8fmVVe,https://api.spotify.com/v1/tracks/7jDtMjYfh9ROnRxP8fmVVe,https://api.spotify.com/v1/audio-analysis/7jDtMjYfh9ROnRxP8fmVVe,182307.0,4.0
Replay,Iyaz,0.66,0.867,6.0,-4.285,0.0,0.116,0.11,0.0,0.0368,0.377,93.033,audio_features,6lV2MSQmRIkycDScNtrBXO,spotify:track:6lV2MSQmRIkycDScNtrBXO,https://api.spotify.com/v1/tracks/6lV2MSQmRIkycDScNtrBXO,https://api.spotify.com/v1/audio-analysis/6lV2MSQmRIkycDScNtrBXO,180480.0,4.0
Airplanes (feat. Hayley Williams of Paramore),B.o.B,0.844,0.601,1.0,-5.283,1.0,0.157,0.0205,0.0,0.385,0.331,73.989,audio_features,4AYX69oFP3UOS1CFmV9UfO,spotify:track:4AYX69oFP3UOS1CFmV9UfO,https://api.spotify.com/v1/tracks/4AYX69oFP3UOS1CFmV9UfO,https://api.spotify.com/v1/audio-analysis/4AYX69oFP3UOS1CFmV9UfO,242013.0,4.0
Bottoms Up (feat. Nicki Minaj),Trey Songz,0.689,0.784,2.0,-2.972,1.0,0.074,0.182,0.0,0.0843,0.561,99.954,audio_features,6DkXLzBQT7cwXmTyzAB1DJ,spotify:track:6DkXLzBQT7cwXmTyzAB1DJ,https://api.spotify.com/v1/tracks/6DkXLzBQT7cwXmTyzAB1DJ,https://api.spotify.com/v1/audio-analysis/6DkXLzBQT7cwXmTyzAB1DJ,263173.0,4.0
What's My Name?,Rihanna,0.626,0.799,11.0,-6.612,0.0,0.046,0.000358,0.00155,0.36,0.369,98.992,audio_features,4lwavw59UjXUPJZtKNdFYp,spotify:track:4lwavw59UjXUPJZtKNdFYp,https://api.spotify.com/v1/tracks/4lwavw59UjXUPJZtKNdFYp,https://api.spotify.com/v1/audio-analysis/4lwavw59UjXUPJZtKNdFYp,274213.0,4.0
Alejandro,Lady Gaga,0.491,0.956,11.0,-1.538,1.0,0.392,0.0295,0.0,0.46,0.811,173.585,audio_features,2igwFfvr1OAGX9SKDCPBwO,spotify:track:2igwFfvr1OAGX9SKDCPBwO,https://api.spotify.com/v1/tracks/2igwFfvr1OAGX9SKDCPBwO,https://api.spotify.com/v1/audio-analysis/2igwFfvr1OAGX9SKDCPBwO,276920.0,4.0
Empire State of Mind (Part II) Broken Down,Alicia Keys,0.666,0.899,8.0,-4.676,1.0,0.028,0.00155,0.0,0.0677,0.629,122.05,audio_features,1CdqVF1ywD0ZO1zXtB9yWa,spotify:track:1CdqVF1ywD0ZO1zXtB9yWa,https://api.spotify.com/v1/tracks/1CdqVF1ywD0ZO1zXtB9yWa,https://api.spotify.com/v1/audio-analysis/1CdqVF1ywD0ZO1zXtB9yWa,186267.0,4.0
Over,Drake,0.482,0.833,5.0,-5.611,1.0,0.0449,0.000346,0.0,0.365,0.74,148.039,audio_features,1fBl642IhJOE5U319Gy2Go,spotify:track:1fBl642IhJOE5U319Gy2Go,https://api.spotify.com/v1/tracks/1fBl642IhJOE5U319Gy2Go,https://api.spotify.com/v1/audio-analysis/1fBl642IhJOE5U319Gy2Go,212293.0,4.0
Break Your Heart,Taio Cruz,0.826,0.612,1.0,-3.891,1.0,0.0982,0.00681,0.0,0.0889,0.756,120.057,audio_features,6vc2Jq2vaGu8z326kSrw92,spotify:track:6vc2Jq2vaGu8z326kSrw92,https://api.spotify.com/v1/tracks/6vc2Jq2vaGu8z326kSrw92,https://api.spotify.com/v1/audio-analysis/6vc2Jq2vaGu8z326kSrw92,187133.0,4.0
Animal,Neon Trees,0.816,0.813,6.0,-7.798,0.0,0.0664,0.0662,2.77e-06,0.602,0.436,127.979,audio_features,7vWFaMq63AwkFDhS2OAg5u,spotify:track:7vWFaMq63AwkFDhS2OAg5u,https://api.spotify.com/v1/tracks/7vWFaMq63AwkFDhS2OAg5u,https://api.spotify.com/v1/audio-analysis/7vWFaMq63AwkFDhS2OAg5u,307640.0,4.0
Your Love Is My Drug,Kesha,0.733,0.664,8.0,-6.163,1.0,0.295,0.102,0.0,0.191,0.557,148.005,audio_features,3iL2l5gUqyPS6vDwJFgJTR,spotify:track:3iL2l5gUqyPS6vDwJFgJTR,https://api.spotify.com/v1/tracks/3iL2l5gUqyPS6vDwJFgJTR,https://api.spotify.com/v1/audio-analysis/3iL2l5gUqyPS6vDwJFgJTR,288133.0,4.0
The Time (Dirty Bit),Black Eyed Peas,0.435,0.837,3.0,-8.126,1.0,0.449,0.00676,0.0,0.117,0.778,124.913,audio_features,4DvhkX2ic4zWkQeWMwQ2qf,spotify:track:4DvhkX2ic4zWkQeWMwQ2qf,https://api.spotify.com/v1/tracks/4DvhkX2ic4zWkQeWMwQ2qf,https://api.spotify.com/v1/audio-analysis/4DvhkX2ic4zWkQeWMwQ2qf,216893.0,4.0
BedRock,Young Money,0.376,0.841,3.0,-4.348,0.0,0.356,0.0435,0.0,0.578,0.463,76.052,audio_features,1kMuU3TNQvHbqvXCWBodmP,spotify:track:1kMuU3TNQvHbqvXCWBodmP,https://api.spotify.com/v1/tracks/1kMuU3TNQvHbqvXCWBodmP,https://api.spotify.com/v1/audio-analysis/1kMuU3TNQvHbqvXCWBodmP,271947.0,4.0
Like A G6,Far East Movement,0.854,0.674,11.0,-4.896,1.0,0.0705,0.0204,0.0,0.101,0.818,125.845,audio_features,6A5NlmBCsCGbJ27jHQgKV5,spotify:track:6A5NlmBCsCGbJ27jHQgKV5,https://api.spotify.com/v1/tracks/6A5NlmBCsCGbJ27jHQgKV5,https://api.spotify.com/v1/audio-analysis/6A5NlmBCsCGbJ27jHQgKV5,210800.0,4.0
Right Above It,Lil Wayne,0.823,0.563,6.0,-5.095,1.0,0.0443,0.0399,0.0,0.0851,0.682,98.031,audio_features,0k6DnZMLoEUH8NGD5zh2SE,spotify:track:0k6DnZMLoEUH8NGD5zh2SE,https://api.spotify.com/v1/tracks/0k6DnZMLoEUH8NGD5zh2SE,https://api.spotify.com/v1/audio-analysis/0k6DnZMLoEUH8NGD5zh2SE,225227.0,4.0
Do You Remember,Jay Sean,0.567,0.707,8.0,-5.455,0.0,0.0818,0.541,0.000176,0.1,0.751,171.917,audio_features,4YYHgF9dWyVSor0GtrBzdf,spotify:track:4YYHgF9dWyVSor0GtrBzdf,https://api.spotify.com/v1/tracks/4YYHgF9dWyVSor0GtrBzdf,https://api.spotify.com/v1/audio-analysis/4YYHgF9dWyVSor0GtrBzdf,208427.0,4.0
Deuces (feat. Tyga & Kevin McCall),Chris Brown,0.846,0.438,11.0,-4.981,1.0,0.141,0.2,9.43e-05,0.0939,0.512,85.013,audio_features,61LtVmmkGr8P9I2tSPvdpf,spotify:track:61LtVmmkGr8P9I2tSPvdpf,https://api.spotify.com/v1/tracks/61LtVmmkGr8P9I2tSPvdpf,https://api.spotify.com/v1/audio-analysis/61LtVmmkGr8P9I2tSPvdpf,237480.0,4.0
Te Amo,Rihanna,0.729,0.675,5.0,-5.292,0.0,0.0286,4.14e-05,0.00126,0.0867,0.74,125.036,audio_features,0WCiI0ddWiu5F2kSHgfw5S,spotify:track:0WCiI0ddWiu5F2kSHgfw5S,https://api.spotify.com/v1/tracks/0WCiI0ddWiu5F2kSHgfw5S,https://api.spotify.com/v1/audio-analysis/0WCiI0ddWiu5F2kSHgfw5S,215200.0,4.0
Teach Me How to Dougie,Cali Swag District,0.531,0.574,10.0,-6.693,0.0,0.113,0.114,0.0308,0.256,0.272,115.68,audio_features,4fCMO9B1WDDcihPPJeBEX3,spotify:track:4fCMO9B1WDDcihPPJeBEX3,https://api.spotify.com/v1/tracks/4fCMO9B1WDDcihPPJeBEX3,https://api.spotify.com/v1/audio-analysis/4fCMO9B1WDDcihPPJeBEX3,232467.0,5.0
Take It Off,Kesha,0.627,0.614,6.0,-6.006,0.0,0.17,0.0211,0.0,0.0286,0.758,96.038,audio_features,4BycRneKmOs6MhYG9THsuX,spotify:track:4BycRneKmOs6MhYG9THsuX,https://api.spotify.com/v1/tracks/4BycRneKmOs6MhYG9THsuX,https://api.spotify.com/v1/audio-analysis/4BycRneKmOs6MhYG9THsuX,208947.0,4.0
Carry Out (Featuring Justin Timberlake),Timbaland,0.606,0.497,4.0,-6.611,1.0,0.0277,0.348,0.0,0.275,0.362,130.739,audio_features,4u26EevCNXMhlvE1xFBJwX,spotify:track:4u26EevCNXMhlvE1xFBJwX,https://api.spotify.com/v1/tracks/4u26EevCNXMhlvE1xFBJwX,https://api.spotify.com/v1/audio-analysis/4u26EevCNXMhlvE1xFBJwX,222773.0,4.0
Find Your Love,Drake,0.6,0.624,8.0,-3.631,1.0,0.0334,0.385,0.0,0.125,0.529,90.036,audio_features,1T8PwF3JhIiWwBhun23RNe,spotify:track:1T8PwF3JhIiWwBhun23RNe,https://api.spotify.com/v1/tracks/1T8PwF3JhIiWwBhun23RNe,https://api.spotify.com/v1/audio-analysis/1T8PwF3JhIiWwBhun23RNe,226533.0,4.0
If I Die Young,The Band Perry,0.84,0.481,6.0,-7.123,0.0,0.0336,0.199,0.0,0.0873,0.955,95.497,audio_features,3oUphdZVPyrsprZ8FgbmQS,spotify:track:3oUphdZVPyrsprZ8FgbmQS,https://api.spotify.com/v1/tracks/3oUphdZVPyrsprZ8FgbmQS,https://api.spotify.com/v1/audio-analysis/3oUphdZVPyrsprZ8FgbmQS,243053.0,4.0
Impossible,Shontelle,0.624,0.723,1.0,-6.782,1.0,0.378,0.172,0.0,0.483,0.757,84.789,audio_features,3bMNprrp2JDKZsGbiXpsJl,spotify:track:3bMNprrp2JDKZsGbiXpsJl,https://api.spotify.com/v1/tracks/3bMNprrp2JDKZsGbiXpsJl,https://api.spotify.com/v1/audio-analysis/3bMNprrp2JDKZsGbiXpsJl,216933.0,4.0
I Need A Dollar,Aloe Blacc,0.615,0.711,11.0,-5.507,1.0,0.0779,0.0444,0.0,0.145,0.711,144.036,audio_features,67T6l4q3zVjC5nZZPXByU8,spotify:track:67T6l4q3zVjC5nZZPXByU8,https://api.spotify.com/v1/tracks/67T6l4q3zVjC5nZZPXByU8,https://api.spotify.com/v1/audio-analysis/67T6l4q3zVjC5nZZPXByU8,221253.0,4.0
My Chick Bad,Ludacris,0.752,0.836,10.0,-3.173,1.0,0.115,0.0843,0.000425,0.424,0.519,120.003,audio_features,7lWUJpax919G4JdaFEVmCy,spotify:track:7lWUJpax919G4JdaFEVmCy,https://api.spotify.com/v1/tracks/7lWUJpax919G4JdaFEVmCy,https://api.spotify.com/v1/audio-analysis/7lWUJpax919G4JdaFEVmCy,172053.0,4.0
Whatcha Say,Jason Derulo,0.497,0.635,2.0,-3.927,1.0,0.0273,0.00621,0.0,0.117,0.203,142.063,audio_features,79uDOz0zuuWS7HWxzMmTa2,spotify:track:79uDOz0zuuWS7HWxzMmTa2,https://api.spotify.com/v1/tracks/79uDOz0zuuWS7HWxzMmTa2,https://api.spotify.com/v1/audio-analysis/79uDOz0zuuWS7HWxzMmTa2,294190.0,4.0
Blah Blah Blah (feat. 3OH!3),Kesha,0.637,0.69,9.0,-3.214,0.0,0.0693,0.417,0.0,0.211,0.103,140.329,audio_features,35srNkJVToAzYiZzron1FY,spotify:track:35srNkJVToAzYiZzron1FY,https://api.spotify.com/v1/tracks/35srNkJVToAzYiZzron1FY,https://api.spotify.com/v1/audio-analysis/35srNkJVToAzYiZzron1FY,253907.0,4.0
Back To December,Taylor Swift,0.597,0.517,0.0,-6.963,1.0,0.366,0.179,0.0,0.307,0.413,92.035,audio_features,0oJMv049q8hEkes9w0L1J4,spotify:track:0oJMv049q8hEkes9w0L1J4,https://api.spotify.com/v1/tracks/0oJMv049q8hEkes9w0L1J4,https://api.spotify.com/v1/audio-analysis/0oJMv049q8hEkes9w0L1J4,257560.0,4.0
Young Forever,JAY-Z,0.646,0.94,10.0,-2.856,0.0,0.0838,0.0209,0.0,0.0691,0.704,129.011,audio_features,4nVyHATevhl5RC6Qmoko5H,spotify:track:4nVyHATevhl5RC6Qmoko5H,https://api.spotify.com/v1/tracks/4nVyHATevhl5RC6Qmoko5H,https://api.spotify.com/v1/audio-analysis/4nVyHATevhl5RC6Qmoko5H,231787.0,4.0
Imma Be,Black Eyed Peas,0.702,0.795,1.0,-4.764,1.0,0.0568,0.329,0.0,0.0505,0.836,83.961,audio_features,0JcKdUGNR7zI4jJDLyYXbi,spotify:track:0JcKdUGNR7zI4jJDLyYXbi,https://api.spotify.com/v1/tracks/0JcKdUGNR7zI4jJDLyYXbi,https://api.spotify.com/v1/audio-analysis/0JcKdUGNR7zI4jJDLyYXbi,247587.0,4.0
I Like It,Enrique Iglesias,0.402,0.741,11.0,-3.822,1.0,0.0411,0.000299,0.0,0.203,0.356,127.835,audio_features,1kLYMOFEzQX9PgdKB7VkSL,spotify:track:1kLYMOFEzQX9PgdKB7VkSL,https://api.spotify.com/v1/tracks/1kLYMOFEzQX9PgdKB7VkSL,https://api.spotify.com/v1/audio-analysis/1kLYMOFEzQX9PgdKB7VkSL,256293.0,5.0
